Name,Graduate,Longterm,Visiting,Institution,Prize Type,Year Awarded
[Ph.] Adam Riess (PhD) - 2011,1,0,0,Harvard,,
[Ph.] Ben Roy Mottelson (PhD) - 1975,1,0,0,Harvard,,
[Ph.] Brian Schmidt (PhD) - 2011,1,0,0,Harvard,,
[Ph.] David J. Wineland (PhD) - 2012,1,0,0,Harvard,,
[Ph.] Edward M. Purcell (PhD) - 1952,1,0,0,Harvard,,
[Ph.] Hugh David Politzer (PhD) - 2004,1,0,0,Harvard,,
[Ph.] John H. van Vleck (PhD) - 1977,1,0,0,Harvard,,
[Ph.] Joseph H. Taylor (PhD) - 1993,1,0,0,Harvard,,
[Ph.] Kenneth G. Wilson (B.A) - 1982,1,0,0,Harvard,,
[Ph.] Nicolaas Bloembergen (Attendee) - 1981,1,0,0,Harvard,,
"[Ph.] Percy W. Bridgman (B.A, PhD) - 1946",1,0,0,Harvard,,
"[Ph.] Philip W. Anderson (B.A, PhD) - 1977",1,0,0,Harvard,,
"[Ph.] Roy Glauber (B.A, PhD) - 2005",1,0,0,Harvard,,
[Ph.] Saul Perlmutter (B.A) - 2011,1,0,0,Harvard,,
[Ph.] Sheldon Glashow (PhD) - 1979,1,0,0,Harvard,,
[Ch.] Christian Anfinsen (PhD) - 1972,1,0,0,Harvard,,
[Ch.] David M. Lee (B.A) - 1996,1,0,0,Harvard,,
[Ch.] Donald Cram (PhD) - 1987,1,0,0,Harvard,,
[Ch.] Dudley R. Herschbach (PhD) - 1986,1,0,0,Harvard,,
[Ch.] Edward A. Doisy (PhD) -1943,1,0,0,Harvard,,
"[Ch.] James B. Sumner (B.A, PhD) - 1946",1,0,0,Harvard,,
[Ch.] Jerome Karle (M.A) - 1985,1,0,0,Harvard,,
"[Ch.] Martin Chalfie (B.S, PhD) - 2008",1,0,0,Harvard,,
[Ch.] Martin Karplus (B.A) - 2013,1,0,0,Harvard,,
[Ch.] Richard R. Schrock (PhD) - 2005,1,0,0,Harvard,,
[Ch.] Roald Hoffmann (PhD) - 1981,1,0,0,Harvard,,
[Ch.] Roger D. Kornberg (B.A) - 2006,1,0,0,Harvard,,
[Ch.] Roger Y. Tsien (B.S) - 2008,1,0,0,Harvard,,
"[Ch.] Theodore W. Richards (B.A, PhD) - 1914",1,0,0,Harvard,,
[Ch.] Thomas A. Steitz (PhD) - 2009,1,0,0,Harvard,,
"[Ch.] Walter Gilbert (B.S, M.S) - 1980",1,0,0,Harvard,,
[Ch.] Walter Kohn (PhD) - 1998,1,0,0,Harvard,,
"[Ch.] William H. Stein (B.A, PhD) - 1972",1,0,0,Harvard,,
[Ch.] William S. Knowles (B.S) - 2001,1,0,0,Harvard,,
[PM] Charles Brenton Huggins (M.D) - 1966,1,0,0,Harvard,,
[PM] Craig C. Mello (PhD) - 2006,1,0,0,Harvard,,
[PM] D. Carleton Gajdusek (M.D) - 1976,1,0,0,Harvard,,
[PM] E. Donnall Thomas (M.D) - 1990,1,0,0,Harvard,,
[PM] Eric Kandel (B.A) - 2000,1,0,0,Harvard,,
[PM] Frederick Chapman Robbins (M.D) - 1954,1,0,0,Harvard,,
[PM] George Davis Snell (PhD) - 1980,1,0,0,Harvard,,
[PM] George H. Hitchings (PhD) - 1988,1,0,0,Harvard,,
[PM] George Minot (M.D) - 1934,1,0,0,Harvard,,
[PM] Harold E. Varmus (M.A) - 1989,1,0,0,Harvard,,
[PM] H. Robert Horvitz (PhD) -2002,1,0,0,Harvard,,
[PM] J. Michael Bishop (M.D) - 1989,1,0,0,Harvard,,
[PM] James Rothman (PhD) - 2013,1,0,0,Harvard,,
[PM] John F. Enders (PhD) - 1954,1,0,0,Harvard,,
[PM] Joseph E. Murray (M.D) - 1990,1,0,0,Harvard,,
[PM] Mario Capecchi (PhD) - 2007,1,0,0,Harvard,,
[PM] Ralph M. Steinman (M.D) - 2011,1,0,0,Harvard,,
[PM] Thomas C. Südhof[6] (Attendee) - 2013,1,0,0,Harvard,,
[PM] Thomas H. Weller (M.D) - 1954,1,0,0,Harvard,,
[PM] William P. Murphy (M.D) - 1934,1,0,0,Harvard,,
[Ec.] A. Michael Spence (PhD) - 2001,1,0,0,Harvard,,
[Ec.] Bertil Ohlin (M.A) - 1977,1,0,0,Harvard,,
"[Ec.] Christopher Sims (B.A, PhD) - 2011",1,0,0,Harvard,,
"[Ec.] Eric Maskin (B.A, PhD) - 2007",1,0,0,Harvard,,
"[Ec.] James Tobin (B.A, PhD) - 1981",1,0,0,Harvard,,
[Ec.] Lloyd Shapley (B.A) - 2012,1,0,0,Harvard,,
[Ec.] Merton H. Miller (M.A) - 1990,1,0,0,Harvard,,
[Ec.] Paul A. Samuelson (PhD) - 1970,1,0,0,Harvard,,
"[Ec.] Robert M. Solow (B.A, PhD) - 1987",1,0,0,Harvard,,
"[Ec.] Roger Myerson (B.A, PhD) - 2007",1,0,0,Harvard,,
[Ec.] Thomas J. Sargent (PhD) - 2011,1,0,0,Harvard,,
[Ec.] Thomas Schelling (PhD) - 2005,1,0,0,Harvard,,
[Ec.] Vernon L. Smith (PhD) - 2002,1,0,0,Harvard,,
[Pe.] Al Gore (B.A) - 2007,1,0,0,Harvard,,
[Pe.] Barack H. Obama (J.D) - 2009,1,0,0,Harvard,,
[Pe.] Ellen Johnson Sirleaf (M.A) - 2011,1,0,0,Harvard,,
"[Pe.] Henry Kissinger (B.A, PhD) - 1973",1,0,0,Harvard,,
[Pe.] Juan Manuel Santos (M.A) - 2016,1,0,0,Harvard,,
[Pe.] Ralph Bunche (PhD) - 1950,1,0,0,Harvard,,
[Pe.] Theodore Roosevelt (B.A) - 1906,1,0,0,Harvard,,
[Li.] Eugene O'Neill[7] (Attendee) - 1936,1,0,0,Harvard,,
[Li.] T. S. Eliot (B.A) - 1948,1,0,0,Harvard,,
[Ph.] E. M. Purcell (Professor) - 1952*,0,1,0,Harvard,,
[Ph.] Julian Schwinger (Professor) - 1965*,0,1,0,Harvard,,
[Ph.] Nicolaas Bloembergen (Professor) - 1981*,0,1,0,Harvard,,
[Ph.] Norman F. Ramsey (Professor) - 1989*,0,1,0,Harvard,,
[Ph.] Percy W. Bridgman (Professor) - 1946*,0,1,0,Harvard,,
[Ph.] Riccardo Giacconi[8] (Professor) - 2002,0,1,0,Harvard,,
[Ph.] Roy Glauber (Professor) - 2005*,0,1,0,Harvard,,
[Ph.] Sheldon Glashow (Professor) - 1979*,0,1,0,Harvard,,
[Ph.] Steven Weinberg (Professor) - 1979*,0,1,0,Harvard,,
[Ch.] Christian Anfinsen (Professor) - 1972,0,1,0,Harvard,,
[Ch.] Dudley R. Herschbach (Professor) - 1986*,0,1,0,Harvard,,
[Ch.] Elias James Corey (Professor) - 1990*,0,1,0,Harvard,,
[Ch.] Geoffrey Wilkinson (Assistant Professor) - 1973,0,1,0,Harvard,,
[Ch.] Martin Karplus (Professor) - 2013*,0,1,0,Harvard,,
[Ch.] Robert Burns Woodward (Professor) - 1965*,0,1,0,Harvard,,
[Ch.] Theodore W. Richards (Professor) - 1914,0,1,0,Harvard,,
[Ch.] William Lipscomb (Professor) - 1976,0,1,0,Harvard,,
[PM] Baruj Benacerraf (Professor) - 1980*,0,1,0,Harvard,,
[PM] David H. Hubel (Professor) - 1981*,0,1,0,Harvard,,
[PM] Frederick Chapman Robbins[9] (Professor) - 1954,0,1,0,Harvard,,
[PM] Fritz Lipmann (Professor) - 1953*,0,1,0,Harvard,,
[PM] George Minot (Professor) - 1934*,0,1,0,Harvard,,
[PM] Georg von Békésy (Professor) - 1961*,0,1,0,Harvard,,
[PM] George Wald (Professor) - 1967*,0,1,0,Harvard,,
[PM] Jack W. Szostak (Professor) - 2009*,0,1,0,Harvard,,
[PM] James Watson (Professor) - 1962*,0,1,0,Harvard,,
[PM] John F. Enders[10] (Professor) - 1954*,0,1,0,Harvard,,
[PM] Konrad Bloch (Professor) - 1964*,0,1,0,Harvard,,
[PM] Linda B. Buck (Professor) - 2004,0,1,0,Harvard,,
[PM] Thomas H. Weller (Professor) - 1954,0,1,0,Harvard,,
[PM] Torsten N. Wiesel (Professor) - 1981*,0,1,0,Harvard,,
[Ec.] A. Michael Spence (Professor) - 2001,0,1,0,Harvard,,
[Ec.] Alvin E. Roth (Professor) - 2012*,0,1,0,Harvard,,
[Ec.] Amartya Sen (Professor) - 1998,0,1,0,Harvard,,
[Ec.] Kenneth J. Arrow (Professor) - 1972*,0,1,0,Harvard,,
[Ec.] Oliver Hart (Professor) - 2016*,0,1,0,Harvard,,
[Ec.] Robert C. Merton (Professor) - 1997*,0,1,0,Harvard,,
[Ec.] Simon Kuznets (Professor) - 1971*,0,1,0,Harvard,,
[Ec.] Wassily Leontief (Professor) - 1973*,0,1,0,Harvard,,
[Pe.] Henry Kissinger (Professor) - 1973,0,1,0,Harvard,,
[Li.] Seamus Heaney (Professor) - 1995*,0,1,0,Harvard,,
[Ph.] Felix Bloch[11] (Researcher) - 1952,0,0,1,Harvard,,
[Ph.] Gerard 't Hooft[12] (Morris Loeb Long-term Lecturer) - 1999,0,0,1,Harvard,,
[Ph.] John Bardeen[Note 1][13] (Junior Fellow) - 1956,0,0,1,Harvard,,
[Ph.] Nicolaas Bloembergen (Junior Fellow) - 1981,0,0,1,Harvard,,
[Ph.] Owen Chamberlain[14] (Morris Loeb Long-term Lecturer) - 1959,0,0,1,Harvard,,
[Ph.] Serge Haroche[15] (Visiting Professor) - 2012,0,0,1,Harvard,,
[Ph.] Willis E. Lamb[12] (Morris Loeb Long-term Lecturer) - 1955,0,0,1,Harvard,,
[Ch.] Aaron Ciechanover[16] (Visiting Professor) - 2004,0,0,1,Harvard,,
[Ch.] Arieh Warshel (Postdoctoral Researcher) - 2013,0,0,1,Harvard,,
[Ch.] Derek Barton[17] (Visiting Professor) - 1969,0,0,1,Harvard,,
[Ch.] Dudley R. Herschbach (Junior Fellow) - 1986,0,0,1,Harvard,,
[Ch.] Jean-Marie Lehn (Postdoctoral Researcher) - 1987,0,0,1,Harvard,,
[Ch.] Peter Debye[18] (Visiting Lecturer) - 1936,0,0,1,Harvard,,
[Ch.] Robert Burns Woodward (Junior Fellow) - 1965,0,0,1,Harvard,,
[Ch.] Robert Lefkowitz[19] (Teaching Fellow) - 2012,0,0,1,Harvard,,
[Ch.] Ryoji Noyori (Visiting Professor) - 2001,0,0,1,Harvard,,
[Ch.] William Moerner[20] (Visiting Professor) - 2014,0,0,1,Harvard,,
[Ch.] Yuan T. Lee (Postdoctoral Researcher) - 1986,0,0,1,Harvard,,
[PM] Albert Szent-Györgyi (Visiting Professor) - 1937,0,0,1,Harvard,,
[PM] Allan M. Cormack (Researcher) - 1979,0,0,1,Harvard,,
[PM] Bengt I. Samuelsson[21](Visiting Professor) - 1982,0,0,1,Harvard,,
[PM] Carl Ferdinand Cori (Visiting Professor) - 1947,0,0,1,Harvard,,
[PM] Francis Crick[22] (Visiting Professor) - 1962,0,0,1,Harvard,,
[PM] George H. Hitchings (Researcher) - 1988,0,0,1,Harvard,,
[PM] Gerald Edelman[23] (Visiting Professor) - 1972,0,0,1,Harvard,,
[PM] Jean Dausset (Researcher) - 1980,0,0,1,Harvard,,
[PM] John R. Vane[24] (Visiting Professor) - 1982,0,0,1,Harvard,,
[PM] Max Theiler (Instructor) - 1951,0,0,1,Harvard,,
[PM] Richard J. Roberts (Postdoctoral Researcher) - 1980,0,0,1,Harvard,,
[Ec.] Lars Peter Hansen[25] (Visiting Professor) - 2013,0,0,1,Harvard,,
[Ec.] Robert J. Shiller[26] (Visiting Scholar) - 2013,0,0,1,Harvard,,
[Pe.] Óscar Arias [27] (Visiting Fellow) - 1987,0,0,1,Harvard,,
[Li.] Derek Walcott[28] (Visiting Professor) - 1992,0,0,1,Harvard,,
[Li.] J. M. Coetzee[29] (Lecturer) - 2003,0,0,1,Harvard,,
[Li.] Mario Vargas Llosa[30] (Visiting Professor) - 2010,0,0,1,Harvard,,
[Ph.] John Bardeen[Note 1][13] (Junior Fellow) -  1972,0,0,1,Harvard,,
[Ph.] Arno A. Penzias (PhD) - 1978,1,0,0,Columbia,,
[Ph.] I. I. Rabi (PhD) - 1944,1,0,0,Columbia,,
[Ph.] James Rainwater (PhD) - 1975,1,0,0,Columbia,,
"[Ph.] Julian S. Schwinger (B.A, PhD) - 1965",1,0,0,Columbia,,
[Ph.] Leon M. Lederman (PhD) - 1988,1,0,0,Columbia,,
"[Ph.] Leon N. Cooper (B.A, PhD) - 1972",1,0,0,Columbia,,
[Ph.] Martin L. Perl (PhD) - 1995,1,0,0,Columbia,,
"[Ph.] Melvin Schwartz (B.A, PhD) - 1988",1,0,0,Columbia,,
[Ph.] Norman F. Ramsey (B.A) - 1989,1,0,0,Columbia,,
[Ph.] Robert A. Millikan (PhD) - 1923,1,0,0,Columbia,,
[Ph.] Val L. Fitch (PhD) - 1980,1,0,0,Columbia,,
[Ch.] Herbert A. Hauptman (M.A) - 1985,1,0,0,Columbia,,
[Ch.] Irving Langmuir (B.S) - 1932,1,0,0,Columbia,,
[Ch.] John Howard Northrop (PhD) - 1946,1,0,0,Columbia,,
[Ch.] Roald Hoffmann (B.A) - 1981,1,0,0,Columbia,,
[Ch.] Robert H. Grubbs (PhD) - 1968,1,0,0,Columbia,,
"[Ch.] Robert Lefkowitz (B.A, MD) - 2012",1,0,0,Columbia,,
[Ch.] Sidney Altman (Attendee) - 1989,1,0,0,Columbia,,
[Ch.] William H. Stein (PhD) - 1972,1,0,0,Columbia,,
[Ch.] William S. Knowles (PhD) - 2001,1,0,0,Columbia,,
[PM] Arthur Kornberg (Attendee) - 1959,1,0,0,Columbia,,
[PM] Baruch S. Blumberg (M.D) - 1976,1,0,0,Columbia,,
[PM] Baruj Benacerraf (B.S) - 1980,1,0,0,Columbia,,
[PM] Dickinson W. Richards (M.D) - 1956,1,0,0,Columbia,,
"[PM] Edward C. Kendall (B.S, PhD) - 1950",1,0,0,Columbia,,
[PM] George Wald (PhD) - 1967,1,0,0,Columbia,,
[PM] Harold E. Varmus (M.D) - 1989,1,0,0,Columbia,,
"[PM] Hermann J. Muller (B.A, PhD) - 1946",1,0,0,Columbia,,
[PM] Joshua Lederberg (B.A) - 1958,1,0,0,Columbia,,
[PM] Konrad E. Bloch (PhD) - 1964,1,0,0,Columbia,,
[PM] Konrad Lorenz (Attendee) - 1973,1,0,0,Columbia,,
[PM] Louis J. Ignarro (B.S) - 1998,1,0,0,Columbia,,
[PM] Richard Axel (B.A) - 2004,1,0,0,Columbia,,
[Ec.] Alvin E. Roth (B.S) - 2012,1,0,0,Columbia,,
[Ec.] Kenneth J. Arrow (PhD) - 1972,1,0,0,Columbia,,
[Ec.] Milton Friedman (PhD) - 1976,1,0,0,Columbia,,
[Ec.] Robert C. Merton (B.S) - 1997,1,0,0,Columbia,,
[Ec.] Robert W. Fogel (M.A) - 1993,1,0,0,Columbia,,
"[Ec.] Simon S. Kuznets (B.S, PhD) - 1971",1,0,0,Columbia,,
[Ec.] William Vickrey (PhD) - 1996,1,0,0,Columbia,,
[Pe.] Barack H. Obama (B.A) - 2009,1,0,0,Columbia,,
"[Pe.] Nicholas Murray Butler (B.A, PhD) - 1931",1,0,0,Columbia,,
[Pe.] José Ramos-Horta (Attendee) - 1996,1,0,0,Columbia,,
[Pe.] Theodore Roosevelt (Attendee) - 1906,1,0,0,Columbia,,
[Ph.] Charles H. Townes (Professor) - 1964,0,1,0,Columbia,,
[Ph.] Enrico Fermi (Professor) - 1938,0,1,0,Columbia,,
[Ph.] Hideki Yukawa (Professor) - 1949*,0,1,0,Columbia,,
[Ph.] Horst L. Stormer (Professor) - 1998*,0,1,0,Columbia,,
[Ph.] I. I. Rabi (Professor) - 1944*,0,1,0,Columbia,,
[Ph.] Jack Steinberger (Professor) - 1988,0,1,0,Columbia,,
[Ph.] Leo James Rainwater (Professor) - 1975,0,1,0,Columbia,,
[Ph.] Leon M. Lederman (Professor) - 1988,0,1,0,Columbia,,
[Ph.] Melvin Schwartz (Professor) - 1988,0,1,0,Columbia,,
[Ph.] Polykarp Kusch (Professor) - 1955*,0,1,0,Columbia,,
[Ph.] Tsung-Dao Lee (Professor) - 1957*,0,1,0,Columbia,,
[Ph.] Willis E. Lamb (Professor) - 1955,0,1,0,Columbia,,
[Ch.] Harold C. Urey (Professor) - 1934*,0,1,0,Columbia,,
